StartTime,EndTime,WindPowerGeneration
01/04/2023 00:00,01/04/2023 01:00,2284
01/04/2023 01:00,01/04/2023 02:00,2680
01/04/2023 02:00,01/04/2023 03:00,2858
01/04/2023 03:00,01/04/2023 04:00,3088
01/04/2023 04:00,01/04/2023 05:00,3416
01/04/2023 05:00,01/04/2023 06:00,3693
01/04/2023 06:00,01/04/2023 07:00,3987
01/04/2023 07:00,01/04/2023 08:00,3950
01/04/2023 08:00,01/04/2023 09:00,3223
01/04/2023 09:00,01/04/2023 10:00,1697
01/04/2023 10:00,01/04/2023 11:00,963
01/04/2023 11:00,01/04/2023 12:00,861
01/04/2023 12:00,01/04/2023 13:00,1140
01/04/2023 13:00,01/04/2023 14:00,1428
01/04/2023 14:00,01/04/2023 15:00,1503
01/04/2023 15:00,01/04/2023 16:00,1512
01/04/2023 16:00,01/04/2023 17:00,1484
01/04/2023 17:00,01/04/2023 18:00,1406
01/04/2023 18:00,01/04/2023 19:00,1395
01/04/2023 19:00,01/04/2023 20:00,1337
01/04/2023 20:00,01/04/2023 21:00,1577
01/04/2023 21:00,01/04/2023 22:00,1802
01/04/2023 22:00,01/04/2023 23:00,2272
01/04/2023 23:00,02/04/2023 00:00,2764
02/04/2023 00:00,02/04/2023 01:00,3032
02/04/2023 01:00,02/04/2023 02:00,3366
02/04/2023 02:00,02/04/2023 03:00,3562
02/04/2023 03:00,02/04/2023 04:00,3618
02/04/2023 04:00,02/04/2023 05:00,3764
02/04/2023 05:00,02/04/2023 06:00,3731
02/04/2023 06:00,02/04/2023 07:00,3766
02/04/2023 07:00,02/04/2023 08:00,3546
02/04/2023 08:00,02/04/2023 09:00,2800
02/04/2023 09:00,02/04/2023 10:00,1722
02/04/2023 10:00,02/04/2023 11:00,1230
02/04/2023 11:00,02/04/2023 12:00,1454
02/04/2023 12:00,02/04/2023 13:00,1699
02/04/2023 13:00,02/04/2023 14:00,1742
02/04/2023 14:00,02/04/2023 15:00,2031
02/04/2023 15:00,02/04/2023 16:00,2224
02/04/2023 16:00,02/04/2023 17:00,2288
02/04/2023 17:00,02/04/2023 18:00,2151
02/04/2023 18:00,02/04/2023 19:00,1889
02/04/2023 19:00,02/04/2023 20:00,1656
02/04/2023 20:00,02/04/2023 21:00,1747
02/04/2023 21:00,02/04/2023 22:00,2085
02/04/2023 22:00,02/04/2023 23:00,2221
02/04/2023 23:00,03/04/2023 00:00,2122
03/04/2023 00:00,03/04/2023 01:00,1935
03/04/2023 01:00,03/04/2023 02:00,1691
03/04/2023 02:00,03/04/2023 03:00,1441
03/04/2023 03:00,03/04/2023 04:00,1208
03/04/2023 04:00,03/04/2023 05:00,1004
03/04/2023 05:00,03/04/2023 06:00,758
03/04/2023 06:00,03/04/2023 07:00,618
03/04/2023 07:00,03/04/2023 08:00,506
03/04/2023 08:00,03/04/2023 09:00,360
03/04/2023 09:00,03/04/2023 10:00,248
03/04/2023 10:00,03/04/2023 11:00,148
03/04/2023 11:00,03/04/2023 12:00,178
03/04/2023 12:00,03/04/2023 13:00,263
03/04/2023 13:00,03/04/2023 14:00,247
03/04/2023 14:00,03/04/2023 15:00,233
03/04/2023 15:00,03/04/2023 16:00,269
03/04/2023 16:00,03/04/2023 17:00,280
03/04/2023 17:00,03/04/2023 18:00,248
03/04/2023 18:00,03/04/2023 19:00,219
03/04/2023 19:00,03/04/2023 20:00,235
03/04/2023 20:00,03/04/2023 21:00,308
03/04/2023 21:00,03/04/2023 22:00,339
03/04/2023 22:00,03/04/2023 23:00,340
03/04/2023 23:00,04/04/2023 00:00,384
04/04/2023 00:00,04/04/2023 01:00,414
04/04/2023 01:00,04/04/2023 02:00,424
04/04/2023 02:00,04/04/2023 03:00,402
04/04/2023 03:00,04/04/2023 04:00,410
04/04/2023 04:00,04/04/2023 05:00,433
04/04/2023 05:00,04/04/2023 06:00,453
04/04/2023 06:00,04/04/2023 07:00,465
04/04/2023 07:00,04/04/2023 08:00,477
04/04/2023 08:00,04/04/2023 09:00,433
04/04/2023 09:00,04/04/2023 10:00,315
04/04/2023 10:00,04/04/2023 11:00,191
04/04/2023 11:00,04/04/2023 12:00,111
04/04/2023 12:00,04/04/2023 13:00,86
04/04/2023 13:00,04/04/2023 14:00,69
04/04/2023 14:00,04/04/2023 15:00,76
04/04/2023 15:00,04/04/2023 16:00,128
04/04/2023 16:00,04/04/2023 17:00,142
04/04/2023 17:00,04/04/2023 18:00,156
04/04/2023 18:00,04/04/2023 19:00,165
04/04/2023 19:00,04/04/2023 20:00,178
04/04/2023 20:00,04/04/2023 21:00,266
04/04/2023 21:00,04/04/2023 22:00,358
04/04/2023 22:00,04/04/2023 23:00,430
04/04/2023 23:00,05/04/2023 00:00,513
05/04/2023 00:00,05/04/2023 01:00,612
05/04/2023 01:00,05/04/2023 02:00,609
05/04/2023 02:00,05/04/2023 03:00,489
05/04/2023 03:00,05/04/2023 04:00,428
05/04/2023 04:00,05/04/2023 05:00,425
05/04/2023 05:00,05/04/2023 06:00,476
05/04/2023 06:00,05/04/2023 07:00,529
05/04/2023 07:00,05/04/2023 08:00,645
05/04/2023 08:00,05/04/2023 09:00,719
05/04/2023 09:00,05/04/2023 10:00,596
05/04/2023 10:00,05/04/2023 11:00,336
05/04/2023 11:00,05/04/2023 12:00,325
05/04/2023 12:00,05/04/2023 13:00,336
05/04/2023 13:00,05/04/2023 14:00,368
05/04/2023 14:00,05/04/2023 15:00,424
05/04/2023 15:00,05/04/2023 16:00,409
05/04/2023 16:00,05/04/2023 17:00,401
05/04/2023 17:00,05/04/2023 18:00,388
05/04/2023 18:00,05/04/2023 19:00,402
