StartTime,EndTime,HydroPowerProduction
01/02/2023 00:01,01/02/2023 00:01,1879
01/02/2023 00:04,01/02/2023 00:04,1869.6
01/02/2023 00:07,01/02/2023 00:07,1822.3
01/02/2023 00:10,01/02/2023 00:10,1818.2
01/02/2023 00:13,01/02/2023 00:13,1812.7
01/02/2023 00:16,01/02/2023 00:16,1797.5
01/02/2023 00:19,01/02/2023 00:19,1801.7
01/02/2023 00:22,01/02/2023 00:22,1802.8
01/02/2023 00:25,01/02/2023 00:25,1790.3
01/02/2023 00:28,01/02/2023 00:28,1779
01/02/2023 00:31,01/02/2023 00:31,1765.5
01/02/2023 00:34,01/02/2023 00:34,1779.2
01/02/2023 00:37,01/02/2023 00:37,1770
01/02/2023 00:40,01/02/2023 00:40,1764.8
01/02/2023 00:43,01/02/2023 00:43,1755.8
01/02/2023 00:46,01/02/2023 00:46,1748
01/02/2023 00:49,01/02/2023 00:49,1792.7
01/02/2023 00:52,01/02/2023 00:52,1756.9
01/02/2023 00:55,01/02/2023 00:55,1727.2
01/02/2023 00:58,01/02/2023 00:58,1711.5
01/02/2023 01:01,01/02/2023 01:01,1679.5
01/02/2023 01:04,01/02/2023 01:04,1681
01/02/2023 01:07,01/02/2023 01:07,1589.9
01/02/2023 01:10,01/02/2023 01:10,1542.5
01/02/2023 01:13,01/02/2023 01:13,1530.3
01/02/2023 01:16,01/02/2023 01:16,1505.3
01/02/2023 01:19,01/02/2023 01:19,1495.7
01/02/2023 01:22,01/02/2023 01:22,1455
01/02/2023 01:25,01/02/2023 01:25,1445.3
01/02/2023 01:28,01/02/2023 01:28,1447.8
01/02/2023 01:31,01/02/2023 01:31,1450.2
01/02/2023 01:34,01/02/2023 01:34,1451.2
01/02/2023 01:37,01/02/2023 01:37,1448.8
01/02/2023 01:40,01/02/2023 01:40,1456
01/02/2023 01:43,01/02/2023 01:43,1431
01/02/2023 01:46,01/02/2023 01:46,1428
01/02/2023 01:49,01/02/2023 01:49,1425.8
01/02/2023 01:52,01/02/2023 01:52,1427
01/02/2023 01:55,01/02/2023 01:55,1417.7
01/02/2023 01:58,01/02/2023 01:58,1390
01/02/2023 02:01,01/02/2023 02:01,1359.2
01/02/2023 02:04,01/02/2023 02:04,1358.7
01/02/2023 02:07,01/02/2023 02:07,1342.8
01/02/2023 02:10,01/02/2023 02:10,1331
01/02/2023 02:13,01/02/2023 02:13,1336.3
01/02/2023 02:16,01/02/2023 02:16,1336.8
01/02/2023 02:19,01/02/2023 02:19,1352.5
01/02/2023 02:22,01/02/2023 02:22,1341.7
01/02/2023 02:25,01/02/2023 02:25,1329.3
01/02/2023 02:28,01/02/2023 02:28,1329.7
01/02/2023 02:31,01/02/2023 02:31,1326.5
01/02/2023 02:34,01/02/2023 02:34,1326
01/02/2023 02:37,01/02/2023 02:37,1329.1
01/02/2023 02:40,01/02/2023 02:40,1322.5
01/02/2023 02:43,01/02/2023 02:43,1312.5
01/02/2023 02:46,01/02/2023 02:46,1311.2
01/02/2023 02:49,01/02/2023 02:49,1320.8
01/02/2023 02:52,01/02/2023 02:52,1315.3
01/02/2023 02:55,01/02/2023 02:55,1315.8
01/02/2023 02:58,01/02/2023 02:58,1315.3
01/02/2023 03:01,01/02/2023 03:01,1309.8
01/02/2023 03:04,01/02/2023 03:04,1321.7
01/02/2023 03:07,01/02/2023 03:07,1340.3
01/02/2023 03:10,01/02/2023 03:10,1330.9
01/02/2023 03:13,01/02/2023 03:13,1302.8
01/02/2023 03:16,01/02/2023 03:16,1310.7
01/02/2023 03:19,01/02/2023 03:19,1302.3
01/02/2023 03:22,01/02/2023 03:22,1297.7
01/02/2023 03:25,01/02/2023 03:25,1302.2
01/02/2023 03:28,01/02/2023 03:28,1316
01/02/2023 03:31,01/02/2023 03:31,1320.3
01/02/2023 03:34,01/02/2023 03:34,1316
01/02/2023 03:37,01/02/2023 03:37,1331.8
01/02/2023 03:40,01/02/2023 03:40,1335.7
01/02/2023 03:43,01/02/2023 03:43,1335
01/02/2023 03:46,01/02/2023 03:46,1337.2
01/02/2023 03:49,01/02/2023 03:49,1337.3
01/02/2023 03:52,01/02/2023 03:52,1326.8
01/02/2023 03:55,01/02/2023 03:55,1335.3
01/02/2023 03:58,01/02/2023 03:58,1338
01/02/2023 04:01,01/02/2023 04:01,1319.7
01/02/2023 04:04,01/02/2023 04:04,1303.2
01/02/2023 04:07,01/02/2023 04:07,1303
01/02/2023 04:10,01/02/2023 04:10,1301.5
01/02/2023 04:13,01/02/2023 04:13,1300.3
01/02/2023 04:16,01/02/2023 04:16,1319.2
01/02/2023 04:19,01/02/2023 04:19,1302.3
01/02/2023 04:22,01/02/2023 04:22,1309.7
01/02/2023 04:25,01/02/2023 04:25,1317.3
01/02/2023 04:28,01/02/2023 04:28,1318
01/02/2023 04:31,01/02/2023 04:31,1315.2
01/02/2023 04:34,01/02/2023 04:34,1315
01/02/2023 04:37,01/02/2023 04:37,1314
01/02/2023 04:40,01/02/2023 04:40,1316.7
01/02/2023 04:43,01/02/2023 04:43,1317
01/02/2023 04:46,01/02/2023 04:46,1328.5
01/02/2023 04:49,01/02/2023 04:49,1331.3
01/02/2023 04:52,01/02/2023 04:52,1333.7
01/02/2023 04:55,01/02/2023 04:55,1326.5
01/02/2023 04:58,01/02/2023 04:58,1334
01/02/2023 05:01,01/02/2023 05:01,1345.3
01/02/2023 05:04,01/02/2023 05:04,1361.3
01/02/2023 05:07,01/02/2023 05:07,1351.7
01/02/2023 05:10,01/02/2023 05:10,1318
01/02/2023 05:13,01/02/2023 05:13,1316.2
01/02/2023 05:16,01/02/2023 05:16,1319.5
01/02/2023 05:19,01/02/2023 05:19,1320.5
01/02/2023 05:22,01/02/2023 05:22,1324.2
01/02/2023 05:25,01/02/2023 05:25,1310.8
01/02/2023 05:28,01/02/2023 05:28,1288.5
01/02/2023 05:31,01/02/2023 05:31,1273.7
01/02/2023 05:34,01/02/2023 05:34,1261.5
01/02/2023 05:37,01/02/2023 05:37,1234.7
01/02/2023 05:40,01/02/2023 05:40,1213.8
01/02/2023 05:43,01/02/2023 05:43,1200
01/02/2023 05:46,01/02/2023 05:46,1198.7
01/02/2023 05:49,01/02/2023 05:49,1184.5
01/02/2023 05:52,01/02/2023 05:52,1170.8
01/02/2023 05:55,01/02/2023 05:55,1150.2
01/02/2023 05:58,01/02/2023 05:58,1121.8
01/02/2023 06:01,01/02/2023 06:01,1107.5
01/02/2023 06:04,01/02/2023 06:04,1119.5
01/02/2023 06:07,01/02/2023 06:07,1122
01/02/2023 06:10,01/02/2023 06:10,1139.1
01/02/2023 06:13,01/02/2023 06:13,1126.8
