StartTime,EndTime,SolarPowerGeneration
01/04/2023 00:00,01/04/2023 01:00,0
01/04/2023 01:00,01/04/2023 02:00,0
01/04/2023 02:00,01/04/2023 03:00,0
01/04/2023 03:00,01/04/2023 04:00,0
01/04/2023 04:00,01/04/2023 05:00,0
01/04/2023 05:00,01/04/2023 06:00,0
01/04/2023 06:00,01/04/2023 07:00,0
01/04/2023 07:00,01/04/2023 08:00,27.6
01/04/2023 08:00,01/04/2023 09:00,117.7
01/04/2023 09:00,01/04/2023 10:00,204.8
01/04/2023 10:00,01/04/2023 11:00,284.7
01/04/2023 11:00,01/04/2023 12:00,350.5
01/04/2023 12:00,01/04/2023 13:00,386.8
01/04/2023 13:00,01/04/2023 14:00,393.3
01/04/2023 14:00,01/04/2023 15:00,373
01/04/2023 15:00,01/04/2023 16:00,335.8
01/04/2023 16:00,01/04/2023 17:00,265.4
01/04/2023 17:00,01/04/2023 18:00,189.2
01/04/2023 18:00,01/04/2023 19:00,120.2
01/04/2023 19:00,01/04/2023 20:00,15.5
01/04/2023 20:00,01/04/2023 21:00,0
01/04/2023 21:00,01/04/2023 22:00,0
01/04/2023 22:00,01/04/2023 23:00,0
01/04/2023 23:00,02/04/2023 00:00,0
02/04/2023 00:00,02/04/2023 01:00,0
02/04/2023 01:00,02/04/2023 02:00,0
02/04/2023 02:00,02/04/2023 03:00,0
02/04/2023 03:00,02/04/2023 04:00,0
02/04/2023 04:00,02/04/2023 05:00,0
02/04/2023 05:00,02/04/2023 06:00,0
02/04/2023 06:00,02/04/2023 07:00,0
02/04/2023 07:00,02/04/2023 08:00,31.7
02/04/2023 08:00,02/04/2023 09:00,122
02/04/2023 09:00,02/04/2023 10:00,209.5
02/04/2023 10:00,02/04/2023 11:00,287.7
02/04/2023 11:00,02/04/2023 12:00,353.5
02/04/2023 12:00,02/04/2023 13:00,390.5
02/04/2023 13:00,02/04/2023 14:00,394.8
02/04/2023 14:00,02/04/2023 15:00,373.9
02/04/2023 15:00,02/04/2023 16:00,324.2
02/04/2023 16:00,02/04/2023 17:00,250.9
02/04/2023 17:00,02/04/2023 18:00,169.6
02/04/2023 18:00,02/04/2023 19:00,103.1
02/04/2023 19:00,02/04/2023 20:00,17
02/04/2023 20:00,02/04/2023 21:00,0
02/04/2023 21:00,02/04/2023 22:00,0
02/04/2023 22:00,02/04/2023 23:00,0
02/04/2023 23:00,03/04/2023 00:00,0
03/04/2023 00:00,03/04/2023 01:00,0
03/04/2023 01:00,03/04/2023 02:00,0
03/04/2023 02:00,03/04/2023 03:00,0
