StartTime,EndTime,WindPowerGeneration
01/02/2023 00:00,01/02/2023 01:00,771
01/02/2023 01:00,01/02/2023 02:00,765
01/02/2023 02:00,01/02/2023 03:00,675
01/02/2023 03:00,01/02/2023 04:00,604
01/02/2023 04:00,01/02/2023 05:00,463
01/02/2023 05:00,01/02/2023 06:00,300
01/02/2023 06:00,01/02/2023 07:00,279
01/02/2023 07:00,01/02/2023 08:00,316
01/02/2023 08:00,01/02/2023 09:00,328
01/02/2023 09:00,01/02/2023 10:00,324
01/02/2023 10:00,01/02/2023 11:00,283
01/02/2023 11:00,01/02/2023 12:00,233
01/02/2023 12:00,01/02/2023 13:00,182
01/02/2023 13:00,01/02/2023 14:00,128
01/02/2023 14:00,01/02/2023 15:00,100
01/02/2023 15:00,01/02/2023 16:00,92
01/02/2023 16:00,01/02/2023 17:00,98
01/02/2023 17:00,01/02/2023 18:00,107
01/02/2023 18:00,01/02/2023 19:00,113
01/02/2023 19:00,01/02/2023 20:00,104
01/02/2023 20:00,01/02/2023 21:00,98
01/02/2023 21:00,01/02/2023 22:00,106
01/02/2023 22:00,01/02/2023 23:00,122
01/02/2023 23:00,02/02/2023 00:00,129
02/02/2023 00:00,02/02/2023 01:00,168
02/02/2023 01:00,02/02/2023 02:00,244
02/02/2023 02:00,02/02/2023 03:00,345
02/02/2023 03:00,02/02/2023 04:00,385
02/02/2023 04:00,02/02/2023 05:00,441
02/02/2023 05:00,02/02/2023 06:00,523
02/02/2023 06:00,02/02/2023 07:00,625
02/02/2023 07:00,02/02/2023 08:00,644
02/02/2023 08:00,02/02/2023 09:00,646
02/02/2023 09:00,02/02/2023 10:00,635
02/02/2023 10:00,02/02/2023 11:00,609
02/02/2023 11:00,02/02/2023 12:00,578
02/02/2023 12:00,02/02/2023 13:00,483
02/02/2023 13:00,02/02/2023 14:00,440
02/02/2023 14:00,02/02/2023 15:00,457
02/02/2023 15:00,02/02/2023 16:00,532
02/02/2023 16:00,02/02/2023 17:00,631
02/02/2023 17:00,02/02/2023 18:00,697
02/02/2023 18:00,02/02/2023 19:00,677
02/02/2023 19:00,02/02/2023 20:00,703
02/02/2023 20:00,02/02/2023 21:00,757
02/02/2023 21:00,02/02/2023 22:00,751
02/02/2023 22:00,02/02/2023 23:00,774
02/02/2023 23:00,03/02/2023 00:00,710
03/02/2023 00:00,03/02/2023 01:00,674
03/02/2023 01:00,03/02/2023 02:00,623
03/02/2023 02:00,03/02/2023 03:00,567
03/02/2023 03:00,03/02/2023 04:00,561
03/02/2023 04:00,03/02/2023 05:00,539
03/02/2023 05:00,03/02/2023 06:00,448
03/02/2023 06:00,03/02/2023 07:00,481
03/02/2023 07:00,03/02/2023 08:00,532
03/02/2023 08:00,03/02/2023 09:00,528
03/02/2023 09:00,03/02/2023 10:00,540
03/02/2023 10:00,03/02/2023 11:00,458
03/02/2023 11:00,03/02/2023 12:00,423
03/02/2023 12:00,03/02/2023 13:00,410
03/02/2023 13:00,03/02/2023 14:00,412
03/02/2023 14:00,03/02/2023 15:00,483
03/02/2023 15:00,03/02/2023 16:00,649
03/02/2023 16:00,03/02/2023 17:00,988
03/02/2023 17:00,03/02/2023 18:00,1349
